Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Non-Travel,714,Human Resources,6,1,Other,1,1,2,Female,51,3,1,Manager,4,Single,19792,9851,5,No,Y,14,3,4,2,5,4,1,8,8,6,2
41,No,Travel_Rarely,205,Sales,10,1,Technical Degree,1,2,4,Male,40,1,1,Sales Executive,2,Divorced,10055,24592,0,No,Y,18,3,4,0,35,1,4,3,2,7,13
28,Yes,Travel_Rarely,314,Sales,23,2,Marketing,1,3,2,Female,88,4,5,Laboratory Technician,1,Married,11816,24067,4,Yes,Y,16,3,3,2,14,2,4,15,12,2,13
32,No,Non-Travel,1395,Human Resources,8,5,Technical Degree,1,4,1,Male,84,3,4,Research Scientist,1,Single,10419,27324,6,Yes,Y,21,4,3,1,11,0,3,15,6,3,0
57,Yes,Non-Travel,633,Research & Development,15,1,Other,1,5,3,Male,60,3,5,Research Scientist,4,Divorced,16606,19300,8,Yes,Y,22,3,1,3,16,3,4,17,1,3,9
54,No,Non-Travel,791,Sales,26,3,Human Resources,1,6,2,Male,91,2,4,Human Resources,2,Divorced,7877,21758,0,No,Y,22,3,3,3,14,6,2,9,7,1,11
55,No,Travel_Frequently,600,Human Resources,13,5,Medical,1,7,1,Female,80,2,3,Human Resources,2,Single,14373,16412,9,No,Y,12,3,3,3,26,5,4,10,13,4,14
50,No,Travel_Rarely,268,Sales,18,3,Medical,1,8,4,Male,92,2,3,Human Resources,2,Married,7429,4328,6,No,Y,14,3,2,2,30,3,4,14,8,4,4
55,No,Non-Travel,861,Sales,1,3,Life Sciences,1,9,4,Male,99,1,5,Manager,4,Divorced,11617,19040,8,Yes,Y,23,3,4,0,1,6,3,4,9,0,6
53,No,Non-Travel,595,Research & Development,14,5,Life Sciences,1,10,4,Female,50,4,3,Healthcare Representative,4,Married,4291,26655,5,No,Y,16,3,3,3,5,5,4,7,3,9,13
38,No,Travel_Frequently,1482,Sales,26,2,Marketing,1,11,2,Male,93,4,5,Manager,1,Divorced,10331,21736,2,No,Y,23,3,2,3,31,4,2,1,13,1,6
18,No,Non-Travel,339,Sales,11,1,Life Sciences,1,12,1,Female,39,3,1,Laboratory Technician,4,Married,14430,24081,5,Yes,Y,12,3,1,1,13,3,2,6,7,3,13
32,No,Travel_Frequently,682,Sales,5,5,Medical,1,13,3,Male,43,2,5,Sales Executive,4,Divorced,2111,4631,6,Yes,Y,18,3,4,0,7,4,2,13,7,7,3
49,No,Travel_Frequently,1145,Sales,18,5,Medical,1,14,4,Female,88,1,3,Manager,1,Married,14744,26391,9,Yes,Y,15,3,3,3,25,1,2,12,2,7,9
19,No,Travel_Rarely,1343,Sales,16,3,Marketing,1,15,4,Male,66,4,5,Manager,3,Single,8500,24140,0,No,Y,17,3,1,0,39,3,3,2,10,5,9
36,No,Non-Travel,813,Human Resources,11,1,Marketing,1,16,3,Female,91,4,4,Sales Executive,2,Married,10099,9021,8,No,Y,15,4,4,2,35,0,2,2,5,9,0
54,No,Non-Travel,728,Sales,12,2,Life Sciences,1,17,3,Male,73,1,3,Research Scientist,3,Single,5558,25062,7,No,Y,10,3,3,1,5,3,1,7,6,5,9
59,No,Non-Travel,422,Research & Development,19,3,Marketing,1,18,4,Male,64,3,3,Manager,3,Married,16724,28621,1,No,Y,17,3,1,0,28,1,1,18,10,1,2
42,Yes,Non-Travel,896,Research & Development,13,4,Medical,1,19,4,Female,64,1,5,Laboratory Technician,1,Single,14585,18706,3,No,Y,11,3,2,3,38,0,2,9,6,8,4
24,No,Non-Travel,1119,Research & Development,5,5,Technical Degree,1,20,1,Male,79,1,5,Manufacturing Director,1,Divorced,5582,5091,4,No,Y,10,3,4,1,2,0,1,10,0,4,5
56,No,Travel_Rarely,364,Research & Development,8,1,Life Sciences,1,21,4,Female,51,4,5,Laboratory Technician,3,Married,17513,29805,1,No,Y,18,4,1,2,37,4,1,14,7,9,12
21,No,Travel_Rarely,483,Research & Development,4,5,Technical Degree,1,22,3,Male,91,1,3,Sales Executive,2,Married,19711,8434,0,Yes,Y,20,3,2,0,29,5,4,3,9,2,10
39,No,Travel_Rarely,374,Sales,2,5,Other,1,23,3,Male,89,1,3,Research Scientist,2,Married,17053,26577,6,No,Y,10,3,1,1,4,5,2,13,9,3,13
21,Yes,Travel_Frequently,1028,Research & Development,3,1,Marketing,1,24,2,Female,48,1,4,Manufacturing Director,2,Single,7521,8616,5,No,Y,19,3,4,1,16,5,3,10,3,5,6
49,No,Travel_Rarely,205,Human Resources,2,2,Other,1,25,4,Male,69,2,1,Human Resources,4,Divorced,2245,3252,1,No,Y,12,4,1,2,6,5,3,17,8,8,5
22,Yes,Travel_Rarely,739,Research & Development,8,4,Marketing,1,26,1,Female,30,1,4,Sales Executive,4,Single,2322,19489,4,Yes,Y,17,3,3,3,17,6,3,3,13,2,1
59,No,Non-Travel,520,Research & Development,15,3,Other,1,27,2,Male,35,2,2,Laboratory Technician,2,Divorced,13308,7527,2,No,Y,21,3,4,0,24,0,4,13,14,4,2
53,No,Travel_Rarely,419,Human Resources,18,5,Marketing,1,28,3,Female,98,3,5,Human Resources,4,Married,10043,6929,0,Yes,Y,19,3,1,1,32,0,4,13,4,6,13
48,Yes,Travel_Rarely,1146,Research & Development,1,3,Technical Degree,1,29,4,Female,85,4,2,Research Scientist,2,Single,17073,13774,2,No,Y,17,3,2,3,19,3,3,18,13,6,5
21,No,Non-Travel,1297,Human Resources,5,5,Marketing,1,30,4,Female,50,3,4,Human Resources,4,Single,14423,18691,5,Yes,Y,23,3,3,0,33,5,1,14,14,5,8
58,No,Travel_Frequently,1111,Research & Development,17,1,Human Resources,1,31,2,Male,58,1,2,Laboratory Technician,2,Married,11675,6887,5,No,Y,14,3,3,3,16,1,4,18,4,4,2
18,No,Non-Travel,1012,Research & Development,17,1,Technical Degree,1,32,4,Female,64,4,4,Manager,1,Divorced,11478,26557,7,Yes,Y,18,3,1,2,8,4,1,7,6,7,13
54,No,Travel_Frequently,284,Human Resources,7,1,Life Sciences,1,33,2,Female,79,2,1,Sales Executive,3,Married,14248,18049,1,Yes,Y,19,3,2,2,30,6,2,11,10,4,5
58,No,Non-Travel,827,Research & Development,25,5,Other,1,34,1,Female,71,4,2,Manager,4,Single,13503,21422,8,No,Y,16,3,4,0,30,2,4,7,10,1,11
20,No,Travel_Frequently,502,Human Resources,16,3,Medical,1,35,3,Female,60,2,3,Manager,1,Divorced,3930,8256,0,Yes,Y,12,3,1,3,16,5,3,16,12,3,2
30,No,Travel_Rarely,1089,Human Resources,8,3,Technical Degree,1,36,4,Female,99,1,2,Human Resources,4,Divorced,4095,28539,0,No,Y,16,3,1,2,0,0,3,6,2,6,11
